timestamp,T70721A,T70721B,T70721C,T70722A,T70722B,T70722C,T70724A,T70724B,T70724C,T70725A,T70725B,T70725C,T70730A,T70730B,T70730C,T70735A,T70735B,T70735C,T70737A,T70737B,T70737C,T70738A,T70738B,T70738C,T70743A,T70743B,T70743C,T70744A,T70744B,T70744C,T70745A,T70745B,T70745C,T70747A,T70747B,T70747C,T76995A,T76995B,T76995C,T77125A,T77125B,T77125C,T78256A,T78256B,T78256C,T78258A,T78258B,T78258C,T78259A,T78259B,T78259C,T78262A,T78262B,T78262C,T78264A,T78264B,T78264C,T78269A,T78269B,T78269C,T78270A,T78270B,T78270C,T78271A,T78271B,T78271C,T78273A,T78273B,T78273C,T78274A,T78274B,T78274C,T78279A,T78279B,T78279C,T78280A,T78280B,T78280C,T70731A,T70731B,T70731C,T36870A,T36870B,T70736A,T70736B,T70736C
lundi 14 janvier 2019,0.831559522,4.793182916,0.438049073,6.438077644,10.688537,10.55873404,13.78831669,7.839432561,7.146693334,10.32613895,15.30630688,15.01482664,27.98929644,15.24713856,10.47606769,11.63271722,11.07376417,14.12104474,7.668055688,8.604891814,9.871666296,22.89384601,5.961832037,13.11423717,1.086612027,8.595054918,2.763929432,16.34619173,26.36984264,5.71414564,7.779817309,11.27278474,6.59680089,1.452297599,0.691962852,7.060548401,7.127966963,1.550870742,5.883152378,2.723894909,2.245882458,20.33796316,18.69844639,19.70318688,19.71807626,5.789831847,28.00590151,21.58331047,10.14648631,6.005740725,4.988058558,16.28937058,16.95140975,16.70055298,1.231573189,1.628513597,7.7911107,14.0902478,11.18416428,5.295851583,8.451308455,2.406124449,6.981318926,26.78727542,26.47664013,36.23054486,3.270589864,19.49851102,33.15796033,19.64547908,3.313386877,5.134302338,2.33367221,0.7436096,1.17288962,3.073861104,4.269522874,6.053109626,1.316748144,5.508529413,4.714902714,2.571879179,0.531834397,1.21533579,1.237269317,3.988340397
lundi 21 janvier 2019,1.100666939,5.283174879,0.400597996,6.266519908,9.85914026,14.44897124,14.41945401,11.13005581,9.250753906,13.20452802,18.3393065,14.80557897,29.33277462,16.20522649,12.30813544,13.46704881,14.59138117,13.80709789,9.213802487,12.60672434,12.03918965,23.73962516,8.496442717,13.21212372,0.81362031,10.22320466,3.411601545,17.65697005,30.68685022,6.020167994,8.883034467,14.09661425,8.263056065,1.818397889,1.174115964,11.57169295,10.0948538,1.847364565,6.704333663,2.95155648,2.447079549,19.63589944,20.15942415,21.53282322,20.13476211,6.202496881,31.39139601,24.86798855,13.68751592,7.362658765,5.427134344,22.49012649,22.12672081,21.40213859,0.944588315,2.015253509,4.448342531,17.75815767,16.21756524,7.118653086,10.15662528,5.079474958,13.80407783,28.80308535,24.48308951,44.09729556,4.151643985,19.59203211,39.60215778,28.39992579,4.028130102,6.641857775,2.754697008,0.836291487,1.572829347,1.366011718,4.868979232,5.989044139,1.563998796,5.366617734,5.784029722,2.861733772,0.624668373,2.453911833,3.333697403,9.358737605
lundi 28 janvier 2019,1.183780856,4.349223349,0.420741157,5.997114423,10.5226823,13.45249446,13.91879547,10.78044294,7.248674393,9.856779138,15.91494841,12.49355043,29.07141888,16.89527062,12.34327297,10.61889565,15.18145777,13.05716407,8.725458923,10.72851873,11.9061129,30.91878794,6.818803372,10.96645919,0.907420688,8.382711705,2.464266476,12.32668231,27.87727175,5.342176694,7.928004707,11.73393946,8.41141548,1.449328452,1.106614654,10.91469549,7.661682043,1.830659104,6.309876374,3.579385045,2.689675422,18.53060951,17.50414897,20.52697227,20.68422158,5.292184345,27.16931812,25.22330697,13.21408713,7.174468979,4.771911364,17.23749424,17.35875226,20.21419665,1.087056925,0.934566543,4.386411029,17.9848486,15.94641861,5.697221379,9.01572864,4.424408922,12.67980216,26.63272705,19.04661622,33.81142033,3.365640996,15.11552246,35.76297145,19.93223197,3.788902373,6.490015256,1.756977322,0.635868168,1.157294557,1.796685463,4.973883939,7.515412112,1.244963817,5.347929603,5.173291372,1.68924902,0.857357142,1.98222328,3.587668796,10.21715619
lundi 4 février 2019,0.973927937,4.318550822,0.447147595,7.142362662,11.92441379,15.08029279,12.07178432,8.915606172,6.414326537,12.40162139,15.43923983,14.86425772,31.46244858,18.78809929,15.98881391,9.817257482,11.80568514,12.96180233,7.564694495,11.44819046,11.89458694,37.49783104,5.839821815,11.2123927,1.001017075,9.025957665,3.491587108,18.78551006,28.49930795,9.682017913,9.118897538,12.18275201,9.422942211,1.449435755,1.657148428,14.23695151,8.589008978,2.03198834,8.253720128,3.528348619,3.822636685,20.38633311,16.50330296,21.22697844,21.04844807,6.361538294,31.29123605,36.55200802,14.435301,6.524281181,5.918415164,21.3746785,17.74673268,18.80671257,1.501799149,0.984321935,5.890165236,19.38371114,18.17302941,5.700616781,10.38793615,5.688476157,11.77577583,25.9351667,18.95959817,40.62395796,3.441911468,18.64332276,38.17746288,23.38395413,3.58496303,6.916990291,2.005446015,0.87203188,1.170023937,1.569491168,4.160341805,8.216270016,1.092515374,5.657792287,6.055633757,3.030928742,1.241328011,2.520621865,3.472459381,9.820944734
lundi 11 février 2019,0.900415705,5.069338583,0.368530978,8.175607604,10.3362192,15.70682085,8.944333022,7.701186931,7.307465656,10.18081514,14.98355822,16.9465992,34.75196135,18.960084,11.97044245,7.842234193,8.165740686,7.53311136,8.470698224,11.09927889,10.45908865,35.24088048,3.153761409,10.00867171,0.744056058,9.4909296,3.148785984,33.29100997,27.90150163,9.096876294,7.660081778,12.96028949,8.468848499,1.580814412,1.303328868,16.72505726,9.125069465,1.72522212,7.3934531,3.563364743,3.583876927,19.09608954,22.0306016,18.67749676,23.28678304,6.741359995,26.54777815,27.98390036,17.17055872,7.922202393,5.682868367,20.31501763,11.75631014,14.97127051,4.120649118,0.830235106,8.246719421,17.93405236,16.57077211,5.778247843,9.782679951,4.877312898,12.90148107,21.95112806,17.04698743,40.55418142,3.178289125,16.64504247,31.90137914,22.63676906,3.45536499,6.465068788,2.262361172,1.448182374,1.474031035,3.590210376,5.791553263,7.800103637,1.559454901,4.933143631,4.919365264,2.377946204,1.151042526,2.526170343,6.378851529,12.29296043
lundi 18 février 2019,0.832237271,5.492499891,0.369519448,6.396781867,11.61407131,16.35549753,10.50008747,8.271432441,8.210723977,11.28422899,15.81247127,14.33866342,34.16921103,17.89354938,10.29097949,12.16767462,12.81250028,14.3684655,9.111277632,11.77349318,6.507295891,24.3655833,4.07060613,10.36615413,1.03364943,9.654976649,4.135680511,11.01682441,25.84703192,15.1113126,9.496218703,12.40470466,8.546964656,2.043015502,1.002130437,13.17259481,9.015449498,2.157332748,7.247145135,3.778111439,4.281752168,22.4388354,16.22016023,33.83464945,22.80654547,5.884179429,22.87664652,25.38898647,16.02658198,7.547072108,5.658745491,20.98026443,10.64226139,20.33767298,1.674644087,0.831813615,5.038828426,17.60080559,16.4247092,6.07093393,9.085532232,5.742073037,13.71404531,22.10760056,16.51937505,33.23602876,3.255223838,17.22327269,28.15594695,31.9850758,3.640197991,7.62014231,1.766675382,0.956696658,1.185795467,2.630415273,6.218482183,8.043617629,3.108589082,6.297790864,6.375017168,2.933393734,1.240075537,3.467638966,7.908104221,14.08439365
lundi 25 février 2019,0.884414196,5.679013402,0.391954767,6.42472124,13.01269677,15.46000437,14.09621684,10.42112849,9.268706408,11.65792123,17.13887089,13.57703897,30.94930228,16.25138974,11.16524012,11.32265087,14.06266728,10.12273862,9.93698341,9.670812208,8.909660273,24.16597265,6.499685398,13.26509402,4.503670223,10.00239173,3.013200749,17.83916637,34.74166077,7.879926424,9.230639963,13.89800563,9.891074773,2.354698052,1.203998711,13.54874799,10.15608828,2.007687259,7.681210317,4.605972475,3.782151633,24.07272834,12.15180559,36.82736072,26.98302754,6.645844051,32.6282735,32.55175304,13.41511384,7.713448199,6.540479286,20.37961201,11.67496414,23.31296154,1.973925388,1.401387498,6.294353141,21.74272438,15.93992947,5.586287467,8.015727547,5.19743576,13.29979204,25.2162542,22.34561859,40.92279866,3.684833168,18.86724951,37.61045787,28.1138479,4.764188416,7.212104874,0.861303877,0.829823898,1.306271572,1.81951619,4.857042606,8.362796684,3.144505504,6.663450768,6.241083576,2.872006951,1.001398582,5.715110227,9.449817584,15.9129818
lundi 4 mars 2019,0.966102271,4.386952076,0.326890793,5.848275755,9.567018911,12.85418075,12.07218504,7.864716091,7.027960994,9.504010841,14.70256574,14.11058219,25.25542704,12.42970224,9.001266318,8.673320907,9.097559803,8.290842355,8.254976263,7.896187744,6.426051627,19.55923406,6.551335947,10.03271252,0.427572967,7.842373858,2.499008827,13.45429981,27.0005024,10.37656536,8.320931435,10.85615826,7.431599266,1.361174501,0.920253721,7.944821457,7.151575516,1.168474822,6.798879234,3.816485094,3.108842104,18.21304896,11.0028134,29.19702396,17.76212673,6.193742777,25.72764536,30.5455403,12.57573078,7.190632895,5.53214298,19.87217589,10.28028486,16.81301367,0.997331546,2.061702372,3.455377734,17.32262754,14.03984117,4.915828652,6.71344284,4.7621185,11.39232772,22.57462072,20.64869785,27.74428076,3.31907896,14.55323652,28.91289655,28.50033645,4.798686632,5.422437771,0.941954472,0.617057042,1.36698892,1.715644658,3.037322887,6.515779874,1.938415753,5.47435885,5.203721893,2.319377845,0.489634967,4.472936476,8.635186024,14.54343499
lundi 11 mars 2019,0.988317668,4.637166237,0.391964087,6.438938397,11.19667589,17.46323274,15.53522588,9.199301496,8.093508751,10.22429804,18.57052755,14.2295969,30.35887878,14.93474825,11.2762747,10.82335281,15.49633052,12.24224864,10.98971457,9.549058987,7.386321785,26.10432745,8.374795862,12.28057629,0.705738519,8.045641486,4.037110117,17.67055439,33.39820334,7.848601625,9.378757513,14.38774284,7.113859193,1.633105308,1.274909597,12.424134,9.267250827,1.369205843,9.299414768,4.178110678,2.654009029,20.39634519,13.54450548,35.17433351,20.22417823,6.615500193,33.6872653,25.79426968,13.92991124,9.274940263,6.284077211,18.44124712,12.5625953,17.61120347,0.659754126,1.554856469,2.459155703,21.25063218,17.63526911,6.171811396,7.151580701,5.975731547,11.57792808,27.50923072,22.04144077,38.94916019,3.588650405,18.06474773,34.46080016,26.77458941,4.645648987,8.872759307,1.101234671,0.729966843,1.532766247,2.949410109,3.652539538,6.135496691,2.104827115,6.489608259,6.367965706,3.44714243,0.960091392,5.608776395,10.72208431,16.89570897
lundi 18 mars 2019,0.876130164,5.041311667,0.423393455,6.052022526,10.59007159,13.0458331,16.326632,10.50114708,8.605361732,11.28482433,18.25021354,14.76974986,27.26682816,13.81520819,11.4219998,12.90881796,11.83820796,16.36393668,11.46576799,9.621332065,10.14662556,20.22197443,7.663122372,12.30088515,1.973367609,9.280651534,3.299781127,13.37283513,29.72396003,5.632293098,8.802246137,13.35119349,8.079852731,1.646614201,1.035652199,12.45559202,8.658585726,1.607545194,6.777715945,3.009894026,2.913976256,19.88665912,13.90470316,36.10820403,18.84390564,5.495416099,31.28436595,34.45332166,15.01359578,8.479818499,6.310300535,20.64187949,12.8123294,19.1371214,0.718647844,1.348113407,1.801810639,21.31297586,18.06029538,5.919256465,7.483605136,6.017086982,12.59408579,28.30473404,23.04536065,36.48599519,3.457288223,17.59997255,35.33012458,24.84882319,5.297187215,9.92995752,1.133125594,0.760924405,0.843381517,3.661895294,5.38914875,7.144001149,2.779188371,7.730526013,6.900898331,2.630421033,1.028498773,6.237552165,11.44025927,17.78160506
