model,series,start_index,start_timestamp,horizon,tau_pred,tau_true,cp_abs_error,tolerance_hit,safe_ceiling,bound_95,actual_interval_max,sharpness,coverage_hits,coverage_count,coverage_window,y_pred_median,y_pred_95
chronos2,T36870A,160,2025-01-01 00:02:40,48,16,8,8.0,0,3.821493625640869,3.821493625640869,2.708699845033419,1.1127937806074502,8,8,1.0,"[2.5977654457092285, 2.59041166305542, 2.585493564605713, 2.566089391708374, 2.5513370037078857, 2.5396721363067627, 2.545672655105591, 2.556837320327759, 2.5709381103515625, 2.5757229328155518, 2.5669870376586914, 2.5658884048461914, 2.5582997798919678, 2.5643835067749023, 2.546964645385742, 2.54541277885437, 2.5264344215393066, 2.5155651569366455, 2.508699655532837, 2.510263204574585, 2.5117027759552, 2.5105905532836914, 2.5051321983337402, 2.4962356090545654, 2.477220058441162, 2.463533878326416, 2.4289865493774414, 2.40183162689209, 2.3655221462249756, 2.335469961166382, 2.3092336654663086, 2.2980966567993164, 2.289851188659668, 2.277968168258667, 2.250626802444458, 2.2359399795532227, 2.2222204208374023, 2.2188851833343506, 2.2225756645202637, 2.2350308895111084, 2.241264820098877, 2.269496202468872, 2.298473358154297, 2.3413922786712646, 2.3852224349975586, 2.4185667037963867, 2.435051679611206, 2.4586098194122314]","[3.0465338230133057, 3.182241201400757, 3.2949209213256836, 3.3827462196350098, 3.426238775253296, 3.5029969215393066, 3.576542854309082, 3.6721034049987793, 3.7470006942749023, 3.7985029220581055, 3.7810816764831543, 3.7791402339935303, 3.821493625640869, 3.809016227722168, 3.8142318725585938, 3.806197166442871, 3.8452725410461426, 3.8265795707702637, 3.827256202697754, 3.8453376293182373, 3.8345890045166016, 3.860422372817993, 3.8440194129943848, 3.797189712524414, 3.8075461387634277, 3.706287384033203, 3.680175304412842, 3.6491599082946777, 3.595064163208008, 3.592240333557129, 3.507720708847046, 3.50886607170105, 3.5873255729675293, 3.53265380859375, 3.5212724208831787, 3.503852128982544, 3.504749298095703, 3.5029029846191406, 3.45210599899292, 3.451411008834839, 3.432539701461792, 3.488278865814209, 3.5519027709960938, 3.636644124984741, 3.7324883937835693, 3.7391576766967773, 3.821014881134033, 3.8487281799316406]"
chronos2,T36870A,1020,2025-01-01 00:17:00,48,10,17,7.0,0,18.580020904541016,18.580020904541016,15.980707370559236,2.59931353398178,17,17,1.0,"[14.604097366333008, 14.932455062866211, 15.12458610534668, 15.296807289123535, 15.448160171508789, 15.220479965209961, 15.065250396728516, 15.070629119873047, 15.377862930297852, 15.680194854736328, 15.925436019897461, 16.10272979736328, 16.202722549438477, 16.272216796875, 16.492557525634766, 16.59190559387207, 16.607881546020508, 16.464645385742188, 16.117599487304688, 15.035369873046875, 14.44020938873291, 14.007027626037598, 13.835980415344238, 13.876811981201172, 14.383687019348145, 14.550312042236328, 14.618769645690918, 14.695413589477539, 14.790903091430664, 14.53265380859375, 14.32434368133545, 14.395380973815918, 15.13856029510498, 15.427373886108398, 15.70964241027832, 15.855630874633789, 15.962526321411133, 15.958426475524902, 16.23112678527832, 16.31494140625, 16.48998260498047, 16.277713775634766, 15.952141761779785, 14.867984771728516, 14.2064208984375, 13.665863990783691, 13.52302360534668, 13.550620079040527]","[16.02515411376953, 16.915681838989258, 17.509855270385742, 18.00788116455078, 18.32218360900879, 18.206201553344727, 17.99195098876953, 17.987258911132812, 18.227872848510742, 18.580020904541016, 18.866729736328125, 19.073774337768555, 19.22692108154297, 19.441808700561523, 19.709041595458984, 20.00366973876953, 20.190916061401367, 20.147262573242188, 19.747032165527344, 18.582077026367188, 17.774276733398438, 17.153064727783203, 16.92613410949707, 16.968189239501953, 17.665252685546875, 18.045001983642578, 18.462081909179688, 18.933116912841797, 19.09680938720703, 19.013038635253906, 18.852243423461914, 18.72334098815918, 18.81806182861328, 19.125144958496094, 19.3919620513916, 19.60466194152832, 19.6261043548584, 20.036457061767578, 20.34031867980957, 20.7937068939209, 20.932527542114258, 20.956201553344727, 20.409669876098633, 19.465618133544922, 18.59527015686035, 18.070598602294922, 17.88070297241211, 17.844017028808594]"
chronos2,T36870A,870,2025-01-01 00:14:30,48,15,19,4.0,0,24.36229133605957,24.36229133605957,18.88092219832193,5.481369137737641,19,19,1.0,"[19.019332885742188, 17.97338104248047, 17.169137954711914, 16.56439208984375, 16.126651763916016, 15.77855396270752, 15.633630752563477, 15.766636848449707, 16.098711013793945, 16.285734176635742, 16.399255752563477, 16.676563262939453, 17.020771026611328, 17.485214233398438, 17.965770721435547, 18.271564483642578, 18.850677490234375, 19.34662437438965, 19.646949768066406, 19.745019912719727, 19.589515686035156, 19.296703338623047, 19.020639419555664, 18.861509323120117, 18.282045364379883, 17.29731559753418, 16.61322021484375, 16.146936416625977, 15.831290245056152, 15.517068862915039, 15.352462768554688, 15.529516220092773, 16.019250869750977, 16.197174072265625, 16.264522552490234, 16.592599868774414, 16.89609718322754, 17.381587982177734, 17.854446411132812, 18.292888641357422, 18.8309383392334, 19.27103042602539, 19.466041564941406, 19.581268310546875, 19.43122673034668, 19.264516830444336, 18.83915901184082, 18.632566452026367]","[21.604698181152344, 21.70733070373535, 21.59258460998535, 21.428546905517578, 21.263811111450195, 21.21318817138672, 21.247167587280273, 21.560924530029297, 22.332748413085938, 22.566144943237305, 22.92731475830078, 23.231992721557617, 23.756345748901367, 23.934293746948242, 24.36229133605957, 24.681093215942383, 26.220190048217773, 26.673831939697266, 26.888782501220703, 27.06830596923828, 26.942157745361328, 26.69181251525879, 26.89381980895996, 26.92818832397461, 26.407596588134766, 25.83507537841797, 25.30272674560547, 24.879486083984375, 24.49477767944336, 24.36163330078125, 24.118858337402344, 24.619171142578125, 26.012550354003906, 26.225719451904297, 26.585412979125977, 27.010814666748047, 27.381927490234375, 28.43412971496582, 29.04521942138672, 29.468088150024414, 29.957128524780273, 30.462749481201172, 30.614416122436523, 30.68025779724121, 30.696149826049805, 30.409587860107422, 30.589672088623047, 29.88861656188965]"
chronos2,T36870A,599,2025-01-01 00:09:59,48,9,9,0.0,1,5.7204179763793945,5.7204179763793945,5.460809702450868,0.25960827392852615,9,9,1.0,"[4.290714263916016, 4.3240580558776855, 4.339302062988281, 4.358389377593994, 4.353338241577148, 4.354903221130371, 4.339123249053955, 4.320472717285156, 4.294480800628662, 4.25979471206665, 4.218859672546387, 4.185534477233887, 4.162981033325195, 4.1306657791137695, 4.106427192687988, 4.096846103668213, 4.102948188781738, 4.104660511016846, 4.168984889984131, 4.219316005706787, 4.279491424560547, 4.349017143249512, 4.377163410186768, 4.380274295806885, 4.416565895080566, 4.416513442993164, 4.42735481262207, 4.4431681632995605, 4.451565742492676, 4.421684265136719, 4.378962993621826, 4.331112861633301, 4.310199737548828, 4.274080276489258, 4.2395853996276855, 4.232418060302734, 4.185105323791504, 4.161242961883545, 4.155731678009033, 4.151523590087891, 4.170416355133057, 4.199656009674072, 4.247424125671387, 4.332515239715576, 4.434910297393799, 4.474643707275391, 4.49098539352417, 4.485025882720947]","[4.85098934173584, 5.073570251464844, 5.270295143127441, 5.4363226890563965, 5.500742435455322, 5.580519676208496, 5.642219543457031, 5.685758113861084, 5.7204179763793945, 5.720590591430664, 5.6847615242004395, 5.694075107574463, 5.662008762359619, 5.646660327911377, 5.6008501052856445, 5.596074104309082, 5.564711570739746, 5.706712245941162, 5.826760768890381, 5.9739766120910645, 6.097155570983887, 6.19038724899292, 6.3186869621276855, 6.323573112487793, 6.410029888153076, 6.4749226570129395, 6.413254261016846, 6.415837287902832, 6.422792911529541, 6.344838619232178, 6.322299957275391, 6.334796905517578, 6.353620529174805, 6.254146099090576, 6.20853853225708, 6.13853120803833, 6.044704914093018, 5.95510721206665, 5.940512180328369, 6.010008335113525, 6.0692667961120605, 6.077486038208008, 6.226965427398682, 6.380839824676514, 6.53808069229126, 6.5331807136535645, 6.6073527336120605, 6.55842399597168]"
chronos2,T36870A,591,2025-01-01 00:09:51,48,8,9,1.0,1,6.57735013961792,6.57735013961792,4.494449165965247,2.0829009736526727,9,9,1.0,"[4.224884986877441, 4.346940040588379, 4.562835216522217, 4.8307623863220215, 5.110744476318359, 5.279963970184326, 5.3801350593566895, 5.422434329986572, 5.4405741691589355, 5.43909215927124, 5.431546688079834, 5.382723808288574, 5.324830055236816, 5.2264180183410645, 5.1127495765686035, 5.02006196975708, 4.9388651847839355, 4.791650772094727, 4.670880317687988, 4.571037769317627, 4.457082748413086, 4.369548797607422, 4.339532375335693, 4.329267978668213, 4.405616760253906, 4.495784282684326, 4.614252090454102, 4.8470892906188965, 5.101356029510498, 5.270562648773193, 5.365664482116699, 5.421868324279785, 5.449895858764648, 5.4556121826171875, 5.444509983062744, 5.40509557723999, 5.365874290466309, 5.281889915466309, 5.168186664581299, 5.080799579620361, 4.989871025085449, 4.874575614929199, 4.748713493347168, 4.6571946144104, 4.545511722564697, 4.4452128410339355, 4.381504058837891, 4.3572001457214355]","[5.0710768699646, 5.406885623931885, 5.698097229003906, 5.9879150390625, 6.23244571685791, 6.438388824462891, 6.535421848297119, 6.57735013961792, 6.546806335449219, 6.553142547607422, 6.514063835144043, 6.523698329925537, 6.485928535461426, 6.3742828369140625, 6.261615753173828, 6.216686725616455, 6.288643836975098, 6.087197303771973, 6.005180358886719, 5.935391902923584, 5.825272560119629, 5.727718353271484, 5.719676971435547, 5.853394508361816, 6.0301361083984375, 6.11381721496582, 6.1594438552856445, 6.364385604858398, 6.609270095825195, 6.7014689445495605, 6.9328155517578125, 6.890766620635986, 6.939365863800049, 6.98362398147583, 6.926060199737549, 6.896943092346191, 6.864123821258545, 6.838235855102539, 6.748021125793457, 6.635687828063965, 6.672779083251953, 6.563237190246582, 6.4471659660339355, 6.346951484680176, 6.274325370788574, 6.27951717376709, 6.168912887573242, 6.148793697357178]"
chronos2,T36870A,1126,2025-01-01 00:18:46,48,8,15,7.0,0,28.40988540649414,28.40988540649414,23.82654627969584,4.5833391267983,15,15,1.0,"[23.761863708496094, 23.37310028076172, 22.984539031982422, 22.391971588134766, 21.90483283996582, 21.577211380004883, 21.412405014038086, 21.25891876220703, 21.1569766998291, 21.07611083984375, 21.013463973999023, 20.967655181884766, 21.06062889099121, 21.226573944091797, 21.458364486694336, 21.687421798706055, 22.213626861572266, 22.44122886657715, 22.6717529296875, 22.775033950805664, 22.99764633178711, 23.067773818969727, 23.104228973388672, 22.88736343383789, 22.709848403930664, 22.441823959350586, 22.163257598876953, 21.730335235595703, 21.354076385498047, 21.051555633544922, 20.849807739257812, 20.766319274902344, 20.6284236907959, 20.612245559692383, 20.629356384277344, 20.52271842956543, 20.605798721313477, 20.8638858795166, 21.216848373413086, 21.468576431274414, 21.790660858154297, 22.03766632080078, 22.325817108154297, 22.517066955566406, 22.753833770751953, 22.853931427001953, 22.91374969482422, 22.791118621826172]","[27.272319793701172, 28.082115173339844, 28.40988540649414, 28.240312576293945, 28.015241622924805, 28.045654296875, 27.7426815032959, 27.912532806396484, 27.826156616210938, 27.640628814697266, 27.700502395629883, 27.733617782592773, 27.73988151550293, 28.06813621520996, 28.347360610961914, 28.600492477416992, 29.426895141601562, 29.78597068786621, 30.124441146850586, 30.251571655273438, 30.665481567382812, 30.813568115234375, 31.132160186767578, 31.406234741210938, 31.18509292602539, 31.152408599853516, 30.937118530273438, 30.856613159179688, 30.47272491455078, 30.142560958862305, 29.690153121948242, 29.331024169921875, 30.46173095703125, 30.070438385009766, 30.092016220092773, 30.44611358642578, 30.409820556640625, 30.866622924804688, 31.487319946289062, 31.68012237548828, 32.056331634521484, 32.5001106262207, 32.80115509033203, 33.10017776489258, 32.99336624145508, 33.325679779052734, 33.42890930175781, 33.86379623413086]"
chronos2,T36870A,155,2025-01-01 00:02:35,48,8,12,4.0,0,3.479976177215576,3.479976177215576,2.705140806269013,0.7748353709465632,12,12,1.0,"[2.3937628269195557, 2.415426015853882, 2.4246087074279785, 2.4201579093933105, 2.414029836654663, 2.4030215740203857, 2.394179582595825, 2.3754918575286865, 2.361816644668579, 2.3378806114196777, 2.329531669616699, 2.331238269805908, 2.3427765369415283, 2.3520259857177734, 2.352994918823242, 2.354671001434326, 2.355517625808716, 2.351248025894165, 2.3547110557556152, 2.3536767959594727, 2.3473000526428223, 2.3554608821868896, 2.357675790786743, 2.354269504547119, 2.3565073013305664, 2.3489902019500732, 2.3417110443115234, 2.3475072383880615, 2.349317789077759, 2.3459908962249756, 2.3314857482910156, 2.324857711791992, 2.319775104522705, 2.3124306201934814, 2.3123631477355957, 2.3219351768493652, 2.3192312717437744, 2.3326947689056396, 2.334878444671631, 2.3246750831604004, 2.3261382579803467, 2.3137660026550293, 2.307323932647705, 2.3140463829040527, 2.3183631896972656, 2.3212392330169678, 2.3122026920318604, 2.3178622722625732]","[2.8433945178985596, 3.0526018142700195, 3.1846327781677246, 3.281710386276245, 3.347548484802246, 3.395681142807007, 3.479976177215576, 3.468402624130249, 3.504183769226074, 3.562025308609009, 3.5325255393981934, 3.5608980655670166, 3.595871686935425, 3.5869011878967285, 3.6241226196289062, 3.6428871154785156, 3.7440671920776367, 3.7114572525024414, 3.7673816680908203, 3.7597904205322266, 3.7393364906311035, 3.7805428504943848, 3.840573310852051, 3.8251564502716064, 3.863903284072876, 3.8676538467407227, 3.8347716331481934, 3.8430657386779785, 3.844886064529419, 3.820263385772705, 3.8071165084838867, 3.811612129211426, 3.820375919342041, 3.7839391231536865, 3.8497681617736816, 3.8751108646392822, 3.8962435722351074, 3.9487318992614746, 4.003800392150879, 4.017002105712891, 4.034845352172852, 4.0316691398620605, 3.953930377960205, 3.94223690032959, 3.977703094482422, 3.92387056350708, 3.9291114807128906, 3.948976993560791]"
chronos2,T36870A,923,2025-01-01 00:15:23,48,8,8,0.0,1,17.94098472595215,17.94098472595215,14.388275366444878,3.5527093595072703,8,8,1.0,"[14.80097484588623, 14.921187400817871, 14.987767219543457, 15.048019409179688, 15.114197731018066, 15.125225067138672, 14.939722061157227, 14.620218276977539, 14.351256370544434, 14.108323097229004, 13.702775955200195, 13.115950584411621, 12.655594825744629, 12.485688209533691, 12.313061714172363, 12.333402633666992, 12.632096290588379, 13.005945205688477, 13.59051513671875, 14.011168479919434, 14.260193824768066, 14.413992881774902, 14.475172996520996, 14.592533111572266, 14.717686653137207, 14.823759078979492, 14.876206398010254, 15.01723861694336, 15.225226402282715, 15.306140899658203, 15.163237571716309, 14.728930473327637, 14.486160278320312, 14.32381534576416, 13.891748428344727, 13.268367767333984, 12.751644134521484, 12.451902389526367, 12.382804870605469, 12.402769088745117, 12.673110961914062, 13.096857070922852, 13.655333518981934, 14.014317512512207, 14.267736434936523, 14.45910358428955, 14.479670524597168, 14.552226066589355]","[16.329238891601562, 16.70277214050293, 17.10285186767578, 17.377300262451172, 17.641759872436523, 17.906774520874023, 17.94098472595215, 17.682626724243164, 17.87437629699707, 17.858959197998047, 17.866994857788086, 17.39402961730957, 17.082555770874023, 16.96437644958496, 16.613914489746094, 16.28865623474121, 16.012155532836914, 16.876785278320312, 17.403911590576172, 17.627689361572266, 17.63396644592285, 17.760427474975586, 17.760671615600586, 17.817264556884766, 18.070220947265625, 18.184017181396484, 18.287364959716797, 18.46787452697754, 18.805574417114258, 18.98163604736328, 19.14910316467285, 18.577709197998047, 18.503814697265625, 18.52968406677246, 18.168437957763672, 17.93475914001465, 17.648212432861328, 17.415159225463867, 17.132099151611328, 16.992712020874023, 17.28235626220703, 17.73736000061035, 18.118370056152344, 18.172344207763672, 18.262495040893555, 18.17881965637207, 18.41065216064453, 18.391902923583984]"
chronos2,T36870A,301,2025-01-01 00:05:01,48,12,10,2.0,1,4.443563938140869,4.443563938140869,2.5092763540365435,1.9342875841043257,10,10,1.0,"[3.1937248706817627, 3.1601674556732178, 3.129009485244751, 3.0908987522125244, 3.076913595199585, 3.0636308193206787, 3.06431245803833, 3.070248603820801, 3.073720932006836, 3.081955909729004, 3.0839486122131348, 3.08471417427063, 3.098327159881592, 3.0989060401916504, 3.101912021636963, 3.098769187927246, 3.117234945297241, 3.104675531387329, 3.101445436477661, 3.099152088165283, 3.093400001525879, 3.1052489280700684, 3.11460542678833, 3.117755889892578, 3.124483585357666, 3.1372876167297363, 3.1396231651306152, 3.1556637287139893, 3.1739084720611572, 3.175990343093872, 3.168659210205078, 3.1698415279388428, 3.166874408721924, 3.153834819793701, 3.1527304649353027, 3.143491506576538, 3.129117250442505, 3.1379733085632324, 3.1366612911224365, 3.1242992877960205, 3.126490831375122, 3.126718044281006, 3.1180307865142822, 3.124460458755493, 3.1338534355163574, 3.1331982612609863, 3.1104652881622314, 3.108397960662842]","[3.443958044052124, 3.5112478733062744, 3.6244378089904785, 3.7370107173919678, 3.828063488006592, 3.9123191833496094, 4.004419803619385, 4.090929985046387, 4.17086124420166, 4.274081707000732, 4.3406081199646, 4.443563938140869, 4.481570243835449, 4.464410305023193, 4.479126930236816, 4.507856845855713, 4.6863694190979, 4.630123138427734, 4.670287132263184, 4.670836448669434, 4.654114723205566, 4.691987991333008, 4.745422840118408, 4.787400245666504, 4.818065166473389, 4.802331924438477, 4.811209678649902, 4.828896522521973, 4.911791801452637, 4.907280445098877, 4.9092302322387695, 4.913049221038818, 5.067368507385254, 5.0576910972595215, 5.064993381500244, 5.082612991333008, 5.053095817565918, 5.096803665161133, 5.158283233642578, 5.180668830871582, 5.149182319641113, 5.165202617645264, 5.122016906738281, 5.122700214385986, 5.20328426361084, 5.184077262878418, 5.177827835083008, 5.153824329376221]"
chronos2,T36870A,166,2025-01-01 00:02:46,48,11,16,5.0,0,3.541002035140991,3.541002035140991,3.0701800382032527,0.4708219969377385,16,16,1.0,"[2.432774543762207, 2.4393763542175293, 2.445323944091797, 2.444920539855957, 2.433838367462158, 2.432925224304199, 2.4355950355529785, 2.4320321083068848, 2.43326473236084, 2.4438626766204834, 2.4494211673736572, 2.4607059955596924, 2.4789681434631348, 2.496107339859009, 2.5049760341644287, 2.528858184814453, 2.5243990421295166, 2.5133354663848877, 2.486410617828369, 2.45824933052063, 2.4304089546203613, 2.4088072776794434, 2.395768165588379, 2.385666847229004, 2.3753209114074707, 2.3695693016052246, 2.365257978439331, 2.3640942573547363, 2.357271432876587, 2.353250026702881, 2.337691068649292, 2.344177484512329, 2.325253486633301, 2.334880828857422, 2.3429102897644043, 2.375293493270874, 2.3964571952819824, 2.4300625324249268, 2.468344211578369, 2.498765707015991, 2.5140857696533203, 2.5129458904266357, 2.497990846633911, 2.4834585189819336, 2.4712777137756348, 2.4597532749176025, 2.4481987953186035, 2.4507994651794434]","[2.735482692718506, 2.8898062705993652, 3.0370523929595947, 3.1469647884368896, 3.2054266929626465, 3.2695889472961426, 3.355196475982666, 3.3794355392456055, 3.433034896850586, 3.473238706588745, 3.541002035140991, 3.6051597595214844, 3.662398099899292, 3.675656318664551, 3.7471585273742676, 3.801525115966797, 3.8739070892333984, 3.847503423690796, 3.827939987182617, 3.793455123901367, 3.7149977684020996, 3.7189440727233887, 3.739957809448242, 3.699498176574707, 3.715949535369873, 3.711036205291748, 3.7621068954467773, 3.8227462768554688, 3.8352580070495605, 3.8397953510284424, 3.8281590938568115, 3.85766863822937, 3.93328857421875, 3.8885977268218994, 3.9597554206848145, 4.009941101074219, 4.039493560791016, 4.169594764709473, 4.300666809082031, 4.343445301055908, 4.37800931930542, 4.33620023727417, 4.330852508544922, 4.284358024597168, 4.324195861816406, 4.260041236877441, 4.23347282409668, 4.242085933685303]"
