model,dataset_path,cp_model,cp_penalty,cp_min_size,cp_jump,num_windows_total,MAE_CP,tolerance,tolerance_hit_rate,coverage_rate,sharpness,tau_pred_horizon_rate,tau_true_horizon_rate,baseline_MAE_CP,baseline_tolerance_hit_rate,baseline_coverage_rate,baseline_sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.149767441860465,3,0.4672093023255814,0.9563617070663527,3.5815183271021658,0.009534883720930233,0.013953488372093023,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-4.434418604651162,0.15534883720930232,0.00035707238805393615,-0.1887364784429617,0.006361707066352751
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,8,1,4300,9.800232558139536,3,0.34069767441860466,0.9535513053482018,3.615040002670144,0.02883720930232558,0.05813953488372093,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-0.7839534883720916,0.028837209302325584,-0.0024533293300970094,-0.15521480287498335,0.0035513053482018053
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,8,1,4300,13.936976744186046,3,0.2532558139534884,0.9518153457085704,3.799206726272661,0.09279069767441861,0.15046511627906978,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,3.3527906976744184,-0.05860465116279068,-0.004189288969728366,0.028951920727533498,0.0018153457085704483
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,10,1,4300,6.937674418604651,3,0.40651162790697676,0.9568793096213827,3.7329043815325527,0.015348837209302326,0.02395348837209302,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-3.6465116279069765,0.09465116279069768,0.0008746749430839085,-0.03735042401257482,0.006879309621382723
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,10,1,4300,10.584186046511627,3,0.3118604651162791,0.9560046346782988,3.7702548055451275,0.05441860465116279,0.09046511627906977,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,0.0,0.0,0.0,0.0,0.006004634678298815
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,10,1,4300,14.59953488372093,3,0.24069767441860465,0.9568403373959712,4.008586104542789,0.15744186046511627,0.19,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,4.015348837209302,-0.07116279069767442,0.0008357027176724152,0.23833129899766137,0.00684033739597123
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,12,1,4300,7.796744186046512,3,0.3730232558139535,0.9567394064244137,3.795816752552619,0.026279069767441862,0.04232558139534884,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-2.7874418604651154,0.06116279069767444,0.000734771746114915,0.025561947007491703,0.00673940642441373
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,12,1,4300,11.865581395348837,3,0.2795348837209302,0.9574502393550013,4.045742349035379,0.10767441860465116,0.1241860465116279,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,1.2813953488372096,-0.03232558139534886,0.0014456046767025166,0.2754875434902515,0.007450239355001331
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,12,1,4300,15.112790697674418,3,0.22906976744186047,0.9601383484651967,4.346828880966702,0.2344186046511628,0.22813953488372093,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,4.528604651162791,-0.0827906976744186,0.0041337137868979745,0.5765740754215742,0.01013834846519679
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,5.866976744186046,3,0.502093023255814,0.9474085618596014,2.2294281456675473,0.0009302325581395349,0.013953488372093023,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-4.018837209302325,0.12441860465116278,0.0013434946113280999,0.1864974630102374,0.0025914381403985276
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,8,1,4300,9.212093023255814,3,0.39488372093023255,0.945341403788582,2.071585766614498,0.0018604651162790699,0.05813953488372093,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-0.6737209302325571,0.017209302325581377,-0.0007236634596913261,0.028655083957187966,0.0046585962114179535
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,8,1,4300,13.305116279069768,3,0.3065116279069767,0.9375123078677072,1.8472439438534836,0.0032558139534883722,0.15046511627906978,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,3.4193023255813966,-0.07116279069767445,-0.0085527593805661,-0.19568673880382637,0.012487692132292727
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,10,1,4300,6.2774418604651165,3,0.4913953488372093,0.9487111347329259,2.241703524526704,0.0011627906976744186,0.02395348837209302,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-3.608372093023255,0.11372093023255814,0.00264606748465257,0.19877284186939415,0.0012888652670740575
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,10,1,4300,9.885813953488372,3,0.3776744186046512,0.9460650672482733,2.04293068265731,0.0020930232558139536,0.09046511627906977,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,0.0,0.0,0.0,0.0,0.0039349327517266275
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,10,1,4300,13.911860465116279,3,0.28488372093023256,0.9415374222422382,1.8090131029481822,0.0034883720930232558,0.19,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,4.026046511627907,-0.09279069767441861,-0.004527645006035086,-0.23391757970912774,0.008462577757761713
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,12,1,4300,7.401162790697675,3,0.4230232558139535,0.9456727429515893,2.0831954131232417,0.0013953488372093023,0.04232558139534884,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-2.484651162790697,0.04534883720930233,-0.00039232429668401014,0.04026473046593182,0.004327257048410638
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,12,1,4300,10.890697674418604,3,0.33906976744186046,0.9441269841269841,1.9343102553915446,0.0020930232558139536,0.1241860465116279,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,1.0048837209302324,-0.038604651162790715,-0.0019380831212891803,-0.10862042726576537,0.005873015873015808
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,12,1,4300,14.314418604651163,3,0.26395348837209304,0.942481625594466,1.783338802984568,0.004186046511627907,0.22813953488372093,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,4.428604651162791,-0.11372093023255814,-0.0035834416538073066,-0.2595918796727419,0.007518374405533934
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.347441860465116,3,0.49465116279069765,0.9769871008389429,4.200704008999706,0.004186046511627907,0.013953488372093023,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,-3.84139534883721,0.1613953488372093,6.96162878706108e-05,0.30392308139603186,0.026987100838942957
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,15.0,8,1,4300,9.576976744186046,3,0.37372093023255815,0.9777103787274652,4.063434730155269,0.009302325581395349,0.05813953488372093,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,-0.6118604651162798,0.04046511627906979,0.0007928941763929442,0.16665380255159468,0.02771037872746529
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,8,1,4300,13.27139534883721,3,0.2788372093023256,0.9763378004415285,3.841796174581882,0.013255813953488372,0.15046511627906978,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,3.082558139534884,-0.05441860465116277,-0.0005796841095437877,-0.054984753021792176,0.026337800441528558
