model,series,start_index,start_timestamp,horizon,tau_pred,tau_true,cp_abs_error,tolerance_hit,safe_ceiling,bound_95,actual_interval_max,sharpness,coverage_hits,coverage_count,coverage_window,y_pred_median,y_pred_95
lstm,T36870A,160,2025-01-01 00:02:40,48,8,8,0.0,1,3.8442325592041016,3.8442325592041016,2.708699845033419,1.1355327141706826,8,8,1.0,"[2.459383964538574, 2.471886396408081, 2.4548699855804443, 2.46724009513855, 2.4688353538513184, 2.491908073425293, 2.4194304943084717, 2.420072555541992, 2.4321882724761963, 2.444352626800537, 2.4448294639587402, 2.39803409576416, 2.4135684967041016, 2.422577381134033, 2.430957317352295, 2.423433780670166, 2.4251747131347656, 2.4136276245117188, 2.423815965652466, 2.4453201293945312, 2.445258617401123, 2.4227356910705566, 2.4458675384521484, 2.4505393505096436, 2.4762699604034424, 2.467393159866333, 2.513176918029785, 2.475740671157837, 2.4951539039611816, 2.5143930912017822, 2.4585070610046387, 2.530344009399414, 2.5017502307891846, 2.5034918785095215, 2.474555015563965, 2.482990264892578, 2.496278762817383, 2.5011303424835205, 2.5060877799987793, 2.5061347484588623, 2.5196118354797363, 2.492642879486084, 2.5517046451568604, 2.5127956867218018, 2.5345535278320312, 2.5323996543884277, 2.5161242485046387, 2.531583309173584]","[3.073798656463623, 3.2030911445617676, 3.3852734565734863, 3.5006203651428223, 3.543274402618408, 3.6755900382995605, 3.70884108543396, 3.8442325592041016, 3.839163064956665, 3.937636137008667, 3.9329757690429688, 3.999053716659546, 4.039461612701416, 4.076323986053467, 4.050385475158691, 4.022153377532959, 4.082101345062256, 4.176537990570068, 4.207891464233398, 4.185626029968262, 4.2724103927612305, 4.219742298126221, 4.283332824707031, 4.263101577758789, 4.2524094581604, 4.321115016937256, 4.327956199645996, 4.334914684295654, 4.349061012268066, 4.422471046447754, 4.416380405426025, 4.489225387573242, 4.509557247161865, 4.517414093017578, 4.569520473480225, 4.557331562042236, 4.59835958480835, 4.558438301086426, 4.609662055969238, 4.62398624420166, 4.6430768966674805, 4.708273410797119, 4.676223278045654, 4.655027389526367, 4.656510829925537, 4.67787504196167, 4.745141983032227, 4.756881237030029]"
lstm,T36870A,1020,2025-01-01 00:17:00,48,8,17,9.0,0,20.789073944091797,20.789073944091797,15.980707370559236,4.808366573532561,17,17,1.0,"[14.723162651062012, 14.848387718200684, 14.854561805725098, 14.994918823242188, 15.021368026733398, 15.19740104675293, 15.190062522888184, 15.32852554321289, 15.342687606811523, 15.368636131286621, 15.372200965881348, 15.546672821044922, 15.549886703491211, 15.587834358215332, 15.51465892791748, 15.471467018127441, 15.415091514587402, 15.523828506469727, 15.529520034790039, 15.579130172729492, 15.636902809143066, 15.602025032043457, 15.599272727966309, 15.62523365020752, 15.53885269165039, 15.625436782836914, 15.815682411193848, 15.776091575622559, 15.85897445678711, 15.770136833190918, 15.752009391784668, 15.798933029174805, 15.976861953735352, 15.879405975341797, 15.857470512390137, 15.869842529296875, 16.00025177001953, 15.961057662963867, 15.997392654418945, 15.898002624511719, 15.924732208251953, 15.930835723876953, 15.944494247436523, 15.935028076171875, 15.947636604309082, 15.895318031311035, 15.940285682678223, 15.994237899780273]","[17.46221160888672, 18.03545570373535, 18.71417808532715, 19.22351837158203, 19.75240707397461, 20.09957504272461, 20.384654998779297, 20.789073944091797, 21.010953903198242, 21.116863250732422, 21.354572296142578, 21.526382446289062, 21.497882843017578, 21.673437118530273, 21.680051803588867, 21.544050216674805, 21.765480041503906, 22.032726287841797, 22.08849334716797, 22.109336853027344, 22.379892349243164, 22.33479881286621, 22.231054306030273, 22.375822067260742, 22.43658447265625, 22.41037368774414, 22.536962509155273, 22.597318649291992, 22.462392807006836, 22.56681251525879, 22.657543182373047, 22.728158950805664, 22.809587478637695, 23.121665954589844, 23.250181198120117, 23.336158752441406, 23.508174896240234, 23.514434814453125, 23.52349281311035, 23.57611083984375, 23.686643600463867, 23.920364379882812, 23.996509552001953, 24.01437759399414, 24.04380226135254, 24.26238441467285, 24.171510696411133, 24.209104537963867]"
lstm,T36870A,870,2025-01-01 00:14:30,48,9,19,10.0,0,24.229141235351562,24.229141235351562,18.88092219832193,5.348219037029633,19,19,1.0,"[19.604902267456055, 19.388458251953125, 19.19484519958496, 18.97576332092285, 18.744314193725586, 18.82347297668457, 18.718698501586914, 18.4846248626709, 18.64509391784668, 18.405956268310547, 18.34740447998047, 18.64521026611328, 18.545610427856445, 18.56350326538086, 18.412246704101562, 18.46408462524414, 18.346080780029297, 18.39792823791504, 18.24763298034668, 18.249792098999023, 18.54629898071289, 18.441631317138672, 18.310667037963867, 18.30532455444336, 18.38975715637207, 18.382156372070312, 18.69943618774414, 18.5194149017334, 18.70305824279785, 18.604127883911133, 18.721221923828125, 18.54456329345703, 18.800018310546875, 18.75751304626465, 18.75053596496582, 18.77989387512207, 18.745468139648438, 18.675861358642578, 18.67786979675293, 18.849180221557617, 18.816831588745117, 18.773120880126953, 18.54475212097168, 18.765087127685547, 18.663002014160156, 18.521806716918945, 18.486207962036133, 18.620248794555664]","[22.072351455688477, 22.411657333374023, 22.886837005615234, 23.349462509155273, 23.412370681762695, 23.65972137451172, 23.793916702270508, 24.229141235351562, 24.212413787841797, 24.311389923095703, 24.582416534423828, 24.526926040649414, 24.781726837158203, 24.725046157836914, 24.897371292114258, 24.519704818725586, 24.805736541748047, 25.003246307373047, 25.028165817260742, 25.029191970825195, 25.272676467895508, 25.448518753051758, 25.458757400512695, 25.54909324645996, 25.49167251586914, 25.59613609313965, 25.87264633178711, 25.740070343017578, 25.6121883392334, 25.594919204711914, 25.86556625366211, 25.748092651367188, 26.006494522094727, 26.289155960083008, 26.409521102905273, 26.6009521484375, 26.69210433959961, 26.52998161315918, 26.638893127441406, 26.551830291748047, 26.803768157958984, 26.916213989257812, 27.064760208129883, 27.131195068359375, 27.092761993408203, 27.26166343688965, 27.311443328857422, 27.227680206298828]"
lstm,T36870A,599,2025-01-01 00:09:59,48,10,9,1.0,1,7.228723049163818,7.228723049163818,5.460809702450868,1.76791334671295,9,9,1.0,"[4.370375633239746, 4.3586344718933105, 4.414631366729736, 4.465455055236816, 4.546413898468018, 4.6561689376831055, 4.683251857757568, 4.660823345184326, 4.676895618438721, 4.653229713439941, 4.7613911628723145, 4.805383682250977, 4.803774356842041, 4.73453950881958, 4.75540018081665, 4.762016773223877, 4.729835510253906, 4.732772350311279, 4.811638832092285, 4.821225166320801, 4.792977809906006, 4.866652488708496, 4.840723991394043, 4.796965599060059, 4.851772308349609, 4.944265365600586, 4.890047073364258, 4.9179887771606445, 4.939508438110352, 4.882740497589111, 4.907354831695557, 4.9454145431518555, 4.938742637634277, 4.9827046394348145, 5.006894111633301, 4.984848976135254, 4.983833312988281, 5.018659591674805, 4.9739580154418945, 5.028791904449463, 5.035018444061279, 5.014015197753906, 5.045494079589844, 5.081147193908691, 5.051694869995117, 5.002626419067383, 5.0468316078186035, 4.959303379058838]","[5.541901111602783, 5.823875427246094, 6.119150638580322, 6.354465484619141, 6.604119300842285, 6.710158824920654, 6.840311527252197, 7.033540725708008, 7.090967178344727, 7.228723049163818, 7.395994663238525, 7.384059429168701, 7.484813690185547, 7.495068073272705, 7.597167015075684, 7.4479169845581055, 7.65061616897583, 7.773538112640381, 7.773283958435059, 7.757078647613525, 7.936452388763428, 7.918213844299316, 7.9409589767456055, 7.861882209777832, 7.842923641204834, 7.887913227081299, 7.857423782348633, 7.938913822174072, 8.015009880065918, 8.04684829711914, 8.039817810058594, 8.103108406066895, 8.268308639526367, 8.206995964050293, 8.297138214111328, 8.347320556640625, 8.375622749328613, 8.216045379638672, 8.398853302001953, 8.320573806762695, 8.462006568908691, 8.465302467346191, 8.614402770996094, 8.50380802154541, 8.455366134643555, 8.56662654876709, 8.505645751953125, 8.647945404052734]"
lstm,T36870A,591,2025-01-01 00:09:51,48,10,9,1.0,1,7.262923717498779,7.262923717498779,4.494449165965247,2.768474551533532,9,9,1.0,"[4.311222076416016, 4.313456058502197, 4.37262487411499, 4.432241439819336, 4.520781517028809, 4.6481614112854, 4.691829681396484, 4.670609951019287, 4.687378883361816, 4.666778564453125, 4.776778697967529, 4.826058864593506, 4.824818134307861, 4.7581000328063965, 4.7832207679748535, 4.793351650238037, 4.751289367675781, 4.7557220458984375, 4.842824935913086, 4.848583698272705, 4.823233604431152, 4.890921115875244, 4.871334552764893, 4.822806358337402, 4.88083028793335, 4.980096817016602, 4.919122695922852, 4.952362060546875, 4.965727806091309, 4.9145283699035645, 4.943375110626221, 4.9780354499816895, 4.962942123413086, 5.01564884185791, 5.040442943572998, 5.017213821411133, 5.01957893371582, 5.0451860427856445, 5.007480144500732, 5.054281711578369, 5.072333812713623, 5.047022819519043, 5.0782246589660645, 5.107874870300293, 5.09184455871582, 5.04241943359375, 5.083230018615723, 4.9978132247924805]","[5.515685558319092, 5.813201904296875, 6.1054229736328125, 6.358736515045166, 6.614214897155762, 6.725218296051025, 6.865489482879639, 7.067526817321777, 7.134836196899414, 7.262923717498779, 7.4368720054626465, 7.424881458282471, 7.526010513305664, 7.544718265533447, 7.640172481536865, 7.5012311935424805, 7.696903705596924, 7.820683002471924, 7.829977989196777, 7.815398216247559, 7.995239734649658, 7.974701881408691, 7.995998382568359, 7.92405366897583, 7.895094394683838, 7.940903186798096, 7.916687965393066, 7.993947505950928, 8.067837715148926, 8.095956802368164, 8.093521118164062, 8.159618377685547, 8.327376365661621, 8.262308120727539, 8.35145378112793, 8.404616355895996, 8.441205978393555, 8.275680541992188, 8.454777717590332, 8.379827499389648, 8.519637107849121, 8.51792049407959, 8.677672386169434, 8.565261840820312, 8.520708084106445, 8.625072479248047, 8.567160606384277, 8.711955070495605]"
lstm,T36870A,1126,2025-01-01 00:18:46,48,8,15,7.0,0,31.451900482177734,31.451900482177734,23.82654627969584,7.625354202481894,15,15,1.0,"[24.721721649169922, 24.502288818359375, 24.499835968017578, 24.39195442199707, 24.148658752441406, 24.05250358581543, 24.059062957763672, 23.912240982055664, 23.72954559326172, 23.824617385864258, 23.803138732910156, 23.934694290161133, 24.013168334960938, 23.9779052734375, 23.869762420654297, 23.840831756591797, 23.87417221069336, 23.740449905395508, 23.701059341430664, 23.677412033081055, 23.878591537475586, 23.80921173095703, 23.659976959228516, 23.623342514038086, 23.591384887695312, 23.706615447998047, 23.779987335205078, 23.753681182861328, 23.877405166625977, 23.91084098815918, 24.017229080200195, 23.84571647644043, 23.926652908325195, 23.905725479125977, 23.974733352661133, 23.95288848876953, 23.967548370361328, 23.91898536682129, 23.942567825317383, 23.846628189086914, 23.95468521118164, 23.897275924682617, 23.656951904296875, 23.633113861083984, 23.662174224853516, 23.8448486328125, 23.69835662841797, 23.735727310180664]","[28.152498245239258, 28.71372413635254, 29.362205505371094, 29.803293228149414, 30.415512084960938, 30.726045608520508, 30.917457580566406, 31.451900482177734, 31.30274200439453, 31.351694107055664, 31.777433395385742, 31.955997467041016, 31.776214599609375, 32.092628479003906, 32.23261260986328, 31.921703338623047, 31.980009078979492, 32.3827018737793, 31.98594856262207, 32.149932861328125, 32.14398956298828, 32.52675247192383, 32.54256820678711, 32.439971923828125, 32.441802978515625, 32.89989471435547, 33.03541564941406, 32.86994552612305, 33.01390838623047, 33.08952713012695, 33.087894439697266, 33.071380615234375, 33.083961486816406, 33.4095458984375, 33.706363677978516, 33.95703125, 34.25678253173828, 33.96195602416992, 34.15873336791992, 34.110538482666016, 34.04393005371094, 34.096588134765625, 34.24506759643555, 34.25463104248047, 34.33945083618164, 34.370479583740234, 34.32857894897461, 34.15479278564453]"
lstm,T36870A,155,2025-01-01 00:02:35,48,9,12,3.0,1,4.116086959838867,4.116086959838867,2.705140806269013,1.4109461535698542,12,12,1.0,"[2.525017738342285, 2.5724010467529297, 2.5566370487213135, 2.588223934173584, 2.6040117740631104, 2.642002582550049, 2.5854971408843994, 2.5745301246643066, 2.593693733215332, 2.601330041885376, 2.6163101196289062, 2.604888439178467, 2.609194040298462, 2.597247838973999, 2.633711338043213, 2.6117746829986572, 2.600764274597168, 2.6054282188415527, 2.612534284591675, 2.651439905166626, 2.6244568824768066, 2.605849027633667, 2.6436216831207275, 2.623019218444824, 2.6713039875030518, 2.680354356765747, 2.692760705947876, 2.6704294681549072, 2.68660306930542, 2.708808183670044, 2.656453847885132, 2.7078566551208496, 2.6932895183563232, 2.707758903503418, 2.6843976974487305, 2.6678502559661865, 2.69305157661438, 2.715890407562256, 2.7247791290283203, 2.7071385383605957, 2.7368035316467285, 2.705573558807373, 2.770718574523926, 2.733919143676758, 2.7304863929748535, 2.7252261638641357, 2.7388272285461426, 2.730616807937622]","[3.2084474563598633, 3.3829591274261475, 3.5598862171173096, 3.6919102668762207, 3.772970676422119, 3.9008772373199463, 3.94734787940979, 4.087424278259277, 4.116086959838867, 4.208348751068115, 4.228153228759766, 4.273904800415039, 4.319647312164307, 4.342529296875, 4.322269439697266, 4.306180477142334, 4.377155303955078, 4.483234882354736, 4.475520133972168, 4.48244047164917, 4.561872482299805, 4.525378227233887, 4.574245452880859, 4.559873580932617, 4.55027961730957, 4.606918811798096, 4.6323442459106445, 4.618412017822266, 4.656818389892578, 4.710023403167725, 4.699398517608643, 4.771477222442627, 4.821680068969727, 4.811885833740234, 4.885741233825684, 4.844877243041992, 4.9247517585754395, 4.857229709625244, 4.927700996398926, 4.9131178855896, 4.951170444488525, 5.0166778564453125, 5.005947589874268, 4.971593379974365, 4.987681865692139, 5.00692081451416, 5.044808387756348, 5.091296672821045]"
lstm,T36870A,923,2025-01-01 00:15:23,48,11,8,3.0,1,20.859512329101562,20.859512329101562,14.388275366444878,6.471236962656684,8,8,1.0,"[14.442087173461914, 14.503714561462402, 14.553114891052246, 14.644248008728027, 14.68140697479248, 14.867461204528809, 14.81206226348877, 14.922175407409668, 15.000838279724121, 14.973278045654297, 15.0138521194458, 15.213557243347168, 15.169902801513672, 15.241936683654785, 15.160889625549316, 15.182586669921875, 15.115096092224121, 15.250555038452148, 15.163661003112793, 15.258541107177734, 15.228153228759766, 15.298863410949707, 15.255019187927246, 15.290422439575195, 15.222575187683105, 15.303037643432617, 15.511828422546387, 15.43763542175293, 15.564643859863281, 15.38059139251709, 15.347230911254883, 15.489973068237305, 15.604870796203613, 15.495555877685547, 15.461627006530762, 15.49777603149414, 15.585094451904297, 15.623334884643555, 15.6484375, 15.563222885131836, 15.588924407958984, 15.630831718444824, 15.577766418457031, 15.555635452270508, 15.615535736083984, 15.592735290527344, 15.552468299865723, 15.606471061706543]","[17.030628204345703, 17.625154495239258, 18.233539581298828, 18.759302139282227, 19.26449966430664, 19.57314682006836, 19.935646057128906, 20.2916259765625, 20.493364334106445, 20.617353439331055, 20.859512329101562, 20.976608276367188, 20.971763610839844, 21.192771911621094, 21.180038452148438, 21.036304473876953, 21.28342628479004, 21.541854858398438, 21.61293601989746, 21.584386825561523, 21.877477645874023, 21.88282585144043, 21.745370864868164, 21.834636688232422, 21.86984634399414, 21.838199615478516, 21.955242156982422, 22.07316780090332, 22.012392044067383, 22.045007705688477, 22.133869171142578, 22.20232391357422, 22.245580673217773, 22.588415145874023, 22.70052146911621, 22.79372215270996, 23.000518798828125, 22.916486740112305, 22.9576473236084, 23.055572509765625, 23.133073806762695, 23.358766555786133, 23.496349334716797, 23.406063079833984, 23.461023330688477, 23.699905395507812, 23.638608932495117, 23.6739559173584]"
lstm,T36870A,301,2025-01-01 00:05:01,48,10,10,0.0,1,5.873325347900391,5.873325347900391,2.5092763540365435,3.364048993863847,10,10,1.0,"[3.263394832611084, 3.313990831375122, 3.3626842498779297, 3.426316976547241, 3.518683433532715, 3.621349811553955, 3.6506831645965576, 3.640369176864624, 3.660064697265625, 3.647367000579834, 3.731375217437744, 3.8004770278930664, 3.791950225830078, 3.7279469966888428, 3.77972412109375, 3.7725889682769775, 3.735820770263672, 3.747097969055176, 3.800077438354492, 3.8423240184783936, 3.7806472778320312, 3.8268048763275146, 3.8315699100494385, 3.776320695877075, 3.853771209716797, 3.9199764728546143, 3.8802614212036133, 3.885881185531616, 3.9068479537963867, 3.8773586750030518, 3.864447593688965, 3.9011948108673096, 3.905216693878174, 3.9469709396362305, 3.9513230323791504, 3.9095137119293213, 3.9287667274475098, 3.9868738651275635, 3.961361885070801, 3.9867215156555176, 4.015592098236084, 3.985689163208008, 4.037041187286377, 4.041644096374512, 4.0122389793396, 3.9749808311462402, 4.020608901977539, 3.9441657066345215]","[4.292827129364014, 4.568398475646973, 4.828861236572266, 5.037176132202148, 5.253127098083496, 5.3672308921813965, 5.502368927001953, 5.688389778137207, 5.752377510070801, 5.873325347900391, 6.0064311027526855, 6.006608963012695, 6.091738700866699, 6.09143590927124, 6.153506755828857, 6.066568374633789, 6.218501091003418, 6.344673156738281, 6.31525993347168, 6.327722549438477, 6.466168403625488, 6.439347267150879, 6.469587326049805, 6.434738636016846, 6.41139030456543, 6.4580302238464355, 6.438776969909668, 6.457932949066162, 6.5567851066589355, 6.583897113800049, 6.564717769622803, 6.62334680557251, 6.7835845947265625, 6.725308895111084, 6.826799392700195, 6.810473442077637, 6.88792610168457, 6.7494049072265625, 6.895723342895508, 6.804933071136475, 6.944976806640625, 6.965642929077148, 7.062765121459961, 6.967257022857666, 6.948632717132568, 7.035370826721191, 6.972782611846924, 7.138210773468018]"
lstm,T36870A,166,2025-01-01 00:02:46,48,8,16,8.0,0,3.8932464122772217,3.8932464122772217,3.0701800382032527,0.823066374073969,16,16,1.0,"[2.3961195945739746, 2.4324162006378174, 2.4200494289398193, 2.445897102355957, 2.4602699279785156, 2.4957170486450195, 2.437258243560791, 2.435253143310547, 2.4529049396514893, 2.4638872146606445, 2.4720215797424316, 2.4464502334594727, 2.4565751552581787, 2.4534389972686768, 2.4791064262390137, 2.465672016143799, 2.4601292610168457, 2.457949161529541, 2.465575933456421, 2.496509552001953, 2.4822006225585938, 2.4609899520874023, 2.491415023803711, 2.4820334911346436, 2.5218935012817383, 2.5208613872528076, 2.54909348487854, 2.5191495418548584, 2.537257432937622, 2.5585625171661377, 2.5041399002075195, 2.5647799968719482, 2.544673442840576, 2.552408456802368, 2.527163505554199, 2.5218794345855713, 2.541447639465332, 2.5565543174743652, 2.5648415088653564, 2.555544376373291, 2.5777902603149414, 2.5493040084838867, 2.6097240447998047, 2.572057008743286, 2.581414222717285, 2.578512191772461, 2.577336072921753, 2.580718994140625]","[3.047358512878418, 3.205101728439331, 3.3834187984466553, 3.5105128288269043, 3.5750021934509277, 3.708202600479126, 3.753329038619995, 3.8932464122772217, 3.9081361293792725, 4.0026092529296875, 4.0110931396484375, 4.066896438598633, 4.109986305236816, 4.140254020690918, 4.115396022796631, 4.097815036773682, 4.160411357879639, 4.260631084442139, 4.271236419677734, 4.266133785247803, 4.346439838409424, 4.304040908813477, 4.357936859130859, 4.342435836791992, 4.331695556640625, 4.393588542938232, 4.410609245300293, 4.402853965759277, 4.430558204650879, 4.492936611175537, 4.484572410583496, 4.554902076721191, 4.593210697174072, 4.591503143310547, 4.655252456665039, 4.626143455505371, 4.690816879272461, 4.635438442230225, 4.6947832107543945, 4.693417549133301, 4.723226070404053, 4.788381099700928, 4.767181873321533, 4.739781379699707, 4.749699115753174, 4.7680253982543945, 4.819465160369873, 4.852444171905518]"
