model,calibrator,feature,importance
lstm,random_forest,tau_pred_norm,0.24067514570757467
lstm,random_forest,tau_pred_raw,0.20957886954475
lstm,random_forest,calendar_second,0.01923645222105684
lstm,random_forest,hist_acf_lag1,0.017954740866609982
lstm,random_forest,hist_slope_last20,0.017014954359641087
lstm,random_forest,width_jump_tau,0.016953738076890035
lstm,random_forest,hist_recent_gap_10_20,0.016172759351719204
lstm,random_forest,y50_jump_tau,0.015608004999179597
lstm,random_forest,hist_slope_last10,0.014732388487911594
lstm,random_forest,hist_recent_std_10,0.014521387659724475
lstm,random_forest,hist_last_minus_y50_first,0.013935271010448842
lstm,random_forest,hist_slope,0.013687637703641222
lstm,random_forest,hist_recent_std_20,0.01324905060635063
lstm,random_forest,hist_last_vs_q90,0.012578883780453177
lstm,random_forest,hist_std,0.011208471647761394
lstm,random_forest,hist_diff_std,0.01048325265582803
lstm,random_forest,hist_last_vs_mean,0.010086920511537844
lstm,random_forest,hist_last_minus_y95_first,0.009950269183123663
lstm,random_forest,hist_range,0.009875066442630967
lstm,random_forest,series_global_std,0.009307589096995448
lstm,random_forest,start_index,0.009190796315949115
lstm,random_forest,calendar_day_cos,0.009027550145958753
lstm,random_forest,calendar_day_sin,0.008974102762778895
lstm,random_forest,hist_first,0.008845096354850666
lstm,random_forest,hist_diff_mean,0.008836397566084236
chronos2,gradient_boosting,tau_pred_norm,0.3791839255664529
chronos2,gradient_boosting,tau_pred_raw,0.2659645432494815
chronos2,gradient_boosting,y95_absdiff_max,0.009658607762499771
chronos2,gradient_boosting,hist_acf_lag1,0.008746540859168943
chronos2,gradient_boosting,width_jump_tau,0.008302826705209525
chronos2,gradient_boosting,y50_jump_tau,0.00749989726435717
chronos2,gradient_boosting,hist_min,0.006579932296132771
chronos2,gradient_boosting,hist_diff_std,0.0065067601910837125
chronos2,gradient_boosting,calendar_second,0.006381950902277606
chronos2,gradient_boosting,y95_slope,0.006068582774271922
chronos2,gradient_boosting,series_T78274A,0.005917651722194623
chronos2,gradient_boosting,hist_recent_gap_10_20,0.005845165219955131
chronos2,gradient_boosting,hist_first,0.005656871368576713
chronos2,gradient_boosting,hist_slope_last20,0.005623074523695428
chronos2,gradient_boosting,y50_slope,0.005561990413400692
chronos2,gradient_boosting,width_absdiff_max,0.005466765136080193
chronos2,gradient_boosting,series_T78256B,0.005456890095998011
chronos2,gradient_boosting,y50_early_late_gap,0.005342466230634274
chronos2,gradient_boosting,hist_delta,0.005325750946247888
chronos2,gradient_boosting,hist_last,0.005325505215612058
chronos2,gradient_boosting,calendar_day_cos,0.0052832560032681445
chronos2,gradient_boosting,hist_last_minus_y50_first,0.005253804761281038
chronos2,gradient_boosting,hist_slope_last10,0.0050814931968296605
chronos2,gradient_boosting,series_T70743C,0.005025016334125084
chronos2,gradient_boosting,hist_absdiff_mean,0.005011275875773611
