model,calibrator,split,cp_model,cp_penalty,cp_min_size,cp_jump,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
chronos2,extra_trees,test,normal,10.0,8,1,852,6.742957746478873,0.3532863849765258,-1.005868544600939,0.9621995740797079,5.355091608630678,-0.4530516431924889,-0.08333333333333331,0.00973532096136287,1.0156495966402028,0.012199574079707953
chronos2,global_median_offset,test,normal,10.0,8,1,852,6.994131455399061,0.45892018779342725,-3.085680751173709,0.956799513233952,4.664815040845844,-0.20187793427230094,0.02230046948356812,0.00433526011560692,0.3253730288553687,0.006799513233952004
chronos2,gradient_boosting,test,normal,10.0,8,1,852,6.686619718309859,0.3204225352112676,-0.573943661971831,0.9623516884697292,5.539157253360543,-0.5093896713615029,-0.1161971830985915,0.009887435351384144,1.1997152413700674,0.012351688469729227
chronos2,per_series_median_offset,test,normal,10.0,8,1,852,6.949530516431925,0.4518779342723005,-2.75,0.9577882567690904,4.835100315221057,-0.24647887323943696,0.015258215962441368,0.005324003650745368,0.4956583032305817,0.007788256769090451
chronos2,random_forest,test,normal,10.0,8,1,852,6.633802816901408,0.32511737089201875,-0.8474178403755869,0.9624277456647399,5.427134844643428,-0.5622065727699539,-0.11150234741784038,0.009963492546394837,1.0876928326529525,0.01242774566473992
chronos2,raw_tau,test,normal,10.0,8,1,852,7.196009389671362,0.43661971830985913,-4.071596244131455,0.952464253118345,4.339442011990475,0.0,0.0,0.0,0.0,0.0024642531183450833
chronos2,extra_trees,train,normal,10.0,8,1,2601,0.6347558631295656,0.9627066512879662,-0.07112648981161092,0.9637037037037037,3.4470834866445816,-6.561253526541797,0.526086932978107,0.01123945058535869,-0.8923585253458937,0.013703703703703773
chronos2,global_median_offset,train,normal,10.0,8,1,2601,5.697808535178777,0.4875048058439062,-1.2625913110342175,0.9603988603988604,3.251142297693638,-1.4982008544925849,0.05088508753404708,0.007934607280515316,-1.0882997142968374,0.010398860398860399
chronos2,gradient_boosting,train,normal,10.0,8,1,2601,4.105728565936178,0.48481353325643983,0.01653210303729335,0.9635327635327635,3.4591711644287058,-3.090280823735184,0.048193814946580704,0.011068510414418475,-0.8802708475617695,0.013532763532763559
chronos2,per_series_median_offset,train,normal,10.0,8,1,2601,5.583621683967705,0.497116493656286,-0.8777393310265282,0.9608831908831909,3.3236938792997752,-1.6123877057036573,0.06049677534642689,0.008418937764845813,-1.0157481326907,0.010883190883190896
chronos2,random_forest,train,normal,10.0,8,1,2601,2.2572087658592848,0.8669742406766628,0.10419069588619762,0.9650427350427351,3.5129994932307587,-4.938800623812077,0.4303545223668037,0.01257848192439004,-0.8264425187597166,0.015042735042735123
chronos2,raw_tau,train,normal,10.0,8,1,2601,5.814686658977316,0.4744329104190696,-2.2529796232218375,0.9573504273504273,3.0558688294205916,-1.3813227306940457,0.03781319210921047,0.004886174232082263,-1.2835731825698837,0.0073504273504273465
chronos2,extra_trees,val,normal,10.0,8,1,847,5.8311688311688314,0.36835891381345925,0.3577331759149941,0.9647770595060501,5.248731981816682,-1.3648405585025305,-0.06826080449639987,0.012312806387705044,0.9092899698262071,0.014777059506050128
chronos2,global_median_offset,val,normal,10.0,8,1,847,5.974025974025974,0.4734356552538371,-2.037780401416765,0.9602187966185977,4.7323533051505455,-1.2219834156453881,0.036815936943977945,0.00775454350025262,0.39291129316007023,0.010218796618597703
chronos2,gradient_boosting,val,normal,10.0,8,1,847,5.760330578512397,0.35182998819362454,0.40731995277449823,0.9646113044919609,5.257566019363812,-1.4356788111589651,-0.08478973011623459,0.012147051373615825,0.9181240073733363,0.014611304491960908
chronos2,per_series_median_offset,val,normal,10.0,8,1,847,6.04250295159386,0.45336481700118064,-1.6198347107438016,0.9607989391679098,4.841760737677422,-1.1535064380775015,0.016745098691321514,0.008334686049564777,0.5023187256869468,0.01079893916790986
chronos2,random_forest,val,normal,10.0,8,1,847,5.775678866587958,0.34946871310507677,0.4510035419126328,0.9648599370130947,5.27063262594453,-1.420330523083404,-0.08715100520478236,0.012395683894749654,0.9311906139540547,0.014859937013094737
chronos2,raw_tau,val,normal,10.0,8,1,847,6.126328217237308,0.4757969303423849,-3.0330578512396693,0.95773247140726,4.433305061393704,-1.0696811724340538,0.03917721203252578,0.005268218288914994,0.09386304940322887,0.0077324714072600775
