model,split,forecast_windows_path,cp_detector,cp_min_size,cp_period_length,cp_exclusion_radius,cp_score_threshold,cp_model,cp_penalty,cp_jump,num_windows_total,MAE_CP,tau_mae_when_both_break,tolerance,tolerance_hit_rate,tolerance_hit_rate_when_both_break,break_precision,break_recall,break_f1,coverage_rate,sharpness,coverage_gap
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,16,0.05,0.5,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,16,0.05,0.6,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,16,0.05,0.7,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,16,0.05,0.75,normal,10.0,1,10000,6.9063,6.870980667134128,3,0.4712,0.4720024040869478,0.9986994797919168,0.9995994793231201,0.9991492768853526,0.9222033725468384,1.6597935134698374,0.027796627453161582
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,8,0.05,0.5,normal,10.0,1,10000,15.6735,15.6735,3,0.4428,0.4428,1.0,1.0,1.0,0.9165250403961701,2.701346046083445,0.033474959603829846
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,8,0.05,0.6,normal,10.0,1,10000,15.6735,15.6735,3,0.4428,0.4428,1.0,1.0,1.0,0.9165250403961701,2.701346046083445,0.033474959603829846
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,8,0.05,0.7,normal,10.0,1,10000,15.6735,15.6735,3,0.4428,0.4428,1.0,1.0,1.0,0.9165250403961701,2.701346046083445,0.033474959603829846
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,8,0.05,0.75,normal,10.0,1,10000,15.6735,15.6735,3,0.4428,0.4428,1.0,1.0,1.0,0.9165250403961701,2.701346046083445,0.033474959603829846
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,auto,0.05,0.5,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,auto,0.05,0.6,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,auto,0.05,0.7,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,8,auto,0.05,0.75,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,16,0.05,0.5,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,16,0.05,0.6,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,16,0.05,0.7,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,16,0.05,0.75,normal,10.0,1,10000,6.9063,6.870980667134128,3,0.4712,0.4720024040869478,0.9986994797919168,0.9995994793231201,0.9991492768853526,0.9222033725468384,1.6597935134698374,0.027796627453161582
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.5,normal,10.0,1,10000,13.8504,13.8504,3,0.404,0.404,1.0,1.0,1.0,0.9186062203668883,2.1466199460869837,0.03139377963311163
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.6,normal,10.0,1,10000,13.8504,13.8504,3,0.404,0.404,1.0,1.0,1.0,0.9186062203668883,2.1466199460869837,0.03139377963311163
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.7,normal,10.0,1,10000,13.8552,13.850370074014803,3,0.4039,0.4039807961592318,0.9998,1.0,0.9998999899989999,0.918614796492017,2.1463655922109983,0.031385203507982906
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.75,normal,10.0,1,10000,14.0315,13.868285280728376,3,0.3977,0.40232675771370763,0.9934673366834171,0.9949672873678913,0.9942167462911743,0.9156447119135184,2.1568446398536247,0.034355288086481583
