model,calibrator,split,cp_detector,cp_model,cp_penalty,cp_min_size,cp_jump,cp_period_length,cp_exclusion_radius,cp_score_threshold,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
chronos2,extra_trees,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.826486486486487,0.1295945945945946,-1.92,0.877257163761911,1.246493383362227,-0.5889189189189183,-0.2905405405405405,0.003932709511097809,0.09825709756967194,0.07274283623808897
chronos2,global_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.415405405405405,0.4201351351351351,-2.2232432432432434,0.8733244542508132,1.148236285792555,0.0,0.0,0.0,0.0,0.07667554574918678
chronos2,gradient_boosting,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.838513513513513,0.12797297297297297,-1.9863513513513513,0.8779030884345187,1.2443660689106484,-0.5768918918918917,-0.2921621621621622,0.004578634183705521,0.09612978311809339,0.07209691156548126
chronos2,per_series_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.404459459459459,0.4275675675675676,-2.0582432432432434,0.8736788553986156,1.1739282182323592,-0.010945945945946,0.0074324324324324675,0.00035440114780238563,0.025691932439804166,0.0763211446013844
chronos2,random_forest,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.851891891891892,0.12432432432432433,-1.6389189189189188,0.8790977632714656,1.2775134433022042,-0.563513513513513,-0.2958108108108108,0.0057733090206524285,0.1292771575096492,0.07090223672853435
chronos2,raw_tau,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.415405405405405,0.4201351351351351,-2.2232432432432434,0.8733244542508132,1.148236285792555,0.0,0.0,0.0,0.0,0.07667554574918678
chronos2,extra_trees,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.4833464566929133,0.8607086614173228,-0.006102362204724409,0.9470801415933093,4.280914560749539,-5.932058948712491,0.4405735262821877,0.07375568734249616,3.1326782749569846,0.002919858406690623
chronos2,global_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.978425196850393,0.49905511811023623,-1.4511811023622048,0.9375209450785704,3.9961129905536876,-1.4369802085550116,0.07891998297510111,0.06419649082775725,2.8478767047611324,0.012479054921429533
chronos2,gradient_boosting,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.099094488188976,0.30775590551181103,0.0026377952755905513,0.9440457376421747,4.378003254899593,-2.3163109172164287,-0.11237922962332408,0.07072128339136152,3.229766969107038,0.005954262357825257
chronos2,per_series_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.963110236220473,0.5051181102362204,-1.2861811023622047,0.9382442942401262,4.023418096478294,-1.4522951691849322,0.08498297510108532,0.06491983998931306,2.8751818106857394,0.011755705759873725
chronos2,random_forest,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.7550393700787401,0.8148031496062992,0.01748031496062992,0.9469061715417958,4.297548514469167,-5.660366035326665,0.39466801447116406,0.07358171729098262,3.149312228676612,0.003093828458204162
chronos2,raw_tau,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.978425196850393,0.49905511811023623,-1.4511811023622048,0.9375209450785704,3.9961129905536876,-1.4369802085550116,0.07891998297510111,0.06419649082775725,2.8478767047611324,0.012479054921429533
chronos2,extra_trees,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.259722222222222,0.2611111111111111,2.2647222222222223,0.9728055027499238,3.9624725739953464,-2.155683183183183,-0.159024024024024,0.09948104849911066,2.8142362882027916,0.02280550274992388
chronos2,global_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.734166666666667,0.6127777777777778,0.7369444444444444,0.968132808985503,3.6657371086012205,-2.681238738738738,0.19264264264264264,0.09480835473468985,2.5175008228086657,0.01813280898550307
