model_id,rmse_percentage,rmse,parameters,rmse_ratio,num_series,num_samples,context_length,rmse_samples,skipped_sectors
amazon/chronos-2,57.336596039371734,2.3500416807017546,120M,0.5733659603937173,86,32,128,10,0
amazon/chronos-bolt-tiny,45.39434728113683,2.4179037629253304,9M,0.4539434728113683,86,32,128,10,0
amazon/chronos-bolt-mini,45.14376676647424,2.436357434187746,21M,0.45143766766474247,86,32,128,10,0
amazon/chronos-bolt-small,43.716320219061835,2.468161986201608,48M,0.4371632021906183,86,32,128,10,0
amazon/chronos-bolt-base,44.22058352932019,2.4527045168382644,205M,0.44220583529320184,86,32,128,10,0
amazon/chronos-t5-tiny,45.75087812332833,2.477355343144875,8M,0.45750878123328326,86,32,128,10,0
amazon/chronos-t5-mini,45.7894056186824,2.5119678291939356,20M,0.45789405618682405,86,32,128,10,0
amazon/chronos-t5-small,45.88033202995707,2.5095719300719646,46M,0.45880332029957066,86,32,128,10,0
amazon/chronos-t5-base,46.323290366751095,2.5102801015579717,200M,0.46323290366751096,86,32,128,10,0
amazon/chronos-t5-large,46.05416207690794,2.5070857049910598,710M,0.46054162076907945,86,32,128,10,0
