model_id,rmse_percentage,rmse,parameters,rmse_ratio,num_series,num_samples,context_length,rmse_samples,skipped_sectors
amazon/chronos-2,75.57374398869983,6.559730071272874,120M,0.7557374398869984,5,32,128,10,0
amazon/chronos-bolt-tiny,75.89997019624468,7.967824410350735,9M,0.7589997019624468,5,32,128,10,0
amazon/chronos-bolt-mini,74.71611528162414,8.026557027585465,21M,0.7471611528162414,5,32,128,10,0
amazon/chronos-bolt-small,74.22369475187878,8.186441763192413,48M,0.7422369475187879,5,32,128,10,0
amazon/chronos-bolt-base,73.53970955761791,8.04343540199981,205M,0.7353970955761792,5,32,128,10,0
amazon/chronos-t5-tiny,76.90163585526287,8.11621151161132,8M,0.7690163585526287,5,32,128,10,0
amazon/chronos-t5-mini,74.85330068344392,8.138271783527443,20M,0.7485330068344392,5,32,128,10,0
amazon/chronos-t5-small,74.04618427148081,8.072627094118015,46M,0.7404618427148081,5,32,128,10,0
amazon/chronos-t5-base,77.40424701116748,8.133902668555,200M,0.7740424701116748,5,32,128,10,0
amazon/chronos-t5-large,75.59088443506545,8.123254400058922,710M,0.7559088443506545,5,32,128,10,0
